"east" "north" "yield" "treatment"
317839.94 6093958.69 0.429819422700938 "control"
317930.05 6093731.03 0.428356498141803 "control"
317930.1 6093737.47 0.45487698441443 "control"
317919.53 6093890.84 0.478978612980343 "control"
317957.25 6093949.97 0.802340897808259 "control"
317929.94 6093727.7 0.860806085350499 "control"
317929.91 6093724.59 0.86115360683625 "control"
317840.33 6093961.47 1.04429708306819 "control"
317840.15 6093961.46 1.34495405721393 "control"
317882.46 6093857.46 1.71929506404914 "control"
317842.15 6093939.31 1.78694651184034 "control"
317957.04 6093946.64 1.98144941352135 "control"
317932.46 6093782.68 2.17335525773615 "control"
317842.28 6093941.53 2.14248536700316 "control"
317931.07 6093739.04 2.26279016356114 "control"
317932.25 6093779.35 2.5623821233475 "control"
317842.33 6093943.75 2.44541071728181 "control"
317932.57 6093786.01 2.48483717688318 "control"
317862.45 6093782.03 2.96010656748166 "control"
317894.36 6093706.45 3.0342564715342 "control"
317847.61 6093925.44 3.3669352876571 "control"
317932.69 6093802.66 3.62748649447283 "control"
317932.12 6093772.47 3.2535058511341 "control"
317932.56 6093795.78 3.55765740038454 "control"
317902.83 6093808.49 3.5921330765239 "control"
317863.34 6093827.55 3.42970378801291 "control"
317968.94 6093728.27 3.64928429569466 "control"
317965.81 6093730.43 3.753871118983 "control"
317931.96 6093762.47 3.75363344200434 "control"
317931.14 6093735.71 3.71076732531334 "control"
317867.21 6093735.52 3.81527067930945 "control"
317932.51 6093789.12 3.93046748910761 "control"
317930.78 6093708.85 3.94322217069592 "control"
317841.78 6093921.77 4.15558667117585 "control"
317935.02 6093808.59 3.82958629762921 "control"
317938.02 6093773.03 3.87673711880072 "control"
317869.52 6093823.02 3.85541183361409 "control"
317933.98 6093761.41 4.11529639069756 "control"
317931.14 6093722.4 3.78916015125313 "control"
317867.6 6093752.29 4.33313261957793 "control"
317966.44 6093743.98 4.17920259082879 "control"
317932.94 6093799.11 3.92834076936188 "control"
317965.77 6093727.65 4.43713984508942 "control"
317842.19 6093937.09 4.01727790973272 "control"
317898.09 6093773.44 4.40206033725496 "control"
317867.57 6093749.4 4.22326056737849 "control"
317932.01 6093769.02 4.46714934270359 "control"
317862.41 6093779.26 4.13400528825342 "control"
317841.27 6093906.56 4.25533549226347 "control"
317930.93 6093719.06 4.82842521332407 "control"
317894.47 6093714.55 4.059471133616 "control"
317932.05 6093776.01 4.20422158426527 "control"
317931.75 6093759.14 4.81395857575229 "control"
317934.72 6093778.62 4.46299100922929 "control"
317931.07 6093725.73 4.2786379415133 "control"
317842.38 6093950.3 4.93663300078052 "control"
317930.75 6093705.74 4.48938980543903 "control"
317882.41 6093860.23 4.10006293114157 "control"
317839.84 6093954.47 4.57765277910678 "control"
317940.24 6093766.53 4.72613706040063 "control"
317932.07 6093765.81 4.22225808873164 "control"
317966.15 6093735.65 4.68352116032228 "control"
317966.75 6093768.73 4.48456198171663 "control"
317842.65 6093959.19 5.02103609326835 "control"
317898.97 6093815.07 4.48840542801348 "control"
317901.71 6093769.63 4.98077251697822 "control"
317868.58 6093789.15 4.54499018304384 "control"
317902.78 6093797.39 4.74261514768818 "control"
317866.99 6093732.74 4.90857321978598 "control"
317916.88 6093886.68 4.33979712269555 "control"
317842.52 6093952.52 4.33200518164157 "control"
317931.44 6093752.48 4.91970273548557 "control"
317934.18 6093764.96 4.62338829473468 "control"
317939.31 6093736.55 5.16633410223895 "control"
317966.38 6093746.75 4.7020099442045 "control"
317919.39 6093884.29 4.83567903260503 "control"
317934.66 6093781.95 4.7697237191669 "control"
317966.7 6093771.5 4.58505852521115 "control"
317967.04 6093776.95 5.15967043335054 "control"
317868.39 6093780.6 4.86487821194349 "control"
317894.34 6093711.77 4.93480563870595 "control"
317845.4 6093927.17 4.80997509396824 "control"
317931.37 6093742.38 4.91190635287841 "control"
317842.1 6093932.65 4.83839913895218 "control"
317955.74 6093876.7 5.37660052185641 "control"
317900.51 6093717.11 5.13890084060359 "control"
317868.45 6093786.37 4.90991062845301 "control"
317861.88 6093764.93 4.96219808230358 "control"
317918.2 6093942.52 5.18400286134492 "control"
317930.89 6093712.4 4.9581531549405 "control"
317862.57 6093784.92 4.75140480776118 "control"
317867.44 6093746.74 5.04599047026761 "control"
317966.99 6093779.72 4.93833617553826 "control"
317931.5 6093749.15 5.23090677063735 "control"
317940.19 6093760.09 5.24303770708965 "control"
317868.51 6093783.6 4.99590129883767 "control"
317937.91 6093769.7 5.50375115183677 "control"
317931.64 6093755.81 5.21826558157714 "control"
317948.22 6093830.72 5.03178971174068 "control"
317966.27 6093752.3 5.37751806239318 "control"
317863.12 6093816.01 5.10526222080991 "control"
317894.4 6093709 4.90106979344631 "control"
317868.44 6093777.83 5.40524713991053 "control"
317862.29 6093776.48 5.43196998272894 "control"
317915.95 6093856.36 5.21935192003065 "control"
317845.02 6093918.84 5.27042027496306 "control"
317865.97 6093783.33 5.12739450586575 "control"
317863.2 6093807.57 4.70380281616463 "control"
317911.88 6093917.87 5.69753709472979 "control"
317874.04 6093869.38 5.11108747864486 "control"
317911.83 6093920.64 5.27905050580734 "control"
317897.23 6093726.26 5.54965527063579 "control"
317874.15 6093854.96 5.33696976283685 "control"
317938.81 6093805.78 5.52101570248434 "control"
317948.75 6093853.81 5.73101720014957 "control"
317939.56 6093746.54 5.25861993626744 "control"
317842.56 6093954.74 5.66757736210384 "control"
317899.13 6093820.62 5.31782394562411 "control"
317931.18 6093729.17 5.07602058871247 "control"
