Easting	Northing
284769.29	6249498.43
284776.27	6249471.09
284767.32	6249491.82
284785.51	6249423.75
284774.47	6249454.19
284805.11	6249313.26
284816.16	6249272.91
284801.6	6249312.65
284807.28	6249292.73
284815.2	6249262.62
284816.54	6249254.66
284797.25	6249317.7
284798.05	6249315.71
284806.72	6249281.13
284817.19	6249241.91
284774.68	6249381.81
284777.38	6249372.21
284785.07	6249341.62
284767.41	6249400.94
284778.02	6249359.15
284785.26	6249330.96
284765.86	6249392.46
284735.66	6249485.13
284736.57	6249482.09
284744.72	6249450.92
284747.18	6249441.44
284735.83	6249470.24
284747.64	6249431.25
284733.71	6249472.19
284735.99	6249460.3
284770.24	6249302.78
284775.74	6249281.55
284786.59	6249242.05
284786.93	6249241.1
284767.34	6249300.7
284775.86	6249271.33
284784.47	6249235.14
284767.68	6249290.92
284775.41	6249259.96
284734.25	6249392.3
284737.75	6249380.55
284744.61	6249352.49
284737.06	6249372.09
284736.96	6249369.58
284747.87	6249330.38
284736.45	6249362
284746.6	6249323.15
284705.58	6249450.56
284714.38	6249422.22
284716.74	6249411.66
284696.83	6249479.68
284708.02	6249440.99
284716.57	6249406.14
284717.23	6249403.28
284695.32	6249471.21
284696.84	6249468.47
284734.02	6249301.08
284736.04	6249290.24
284746.69	6249250.73
284735.37	6249280.6
284746.75	6249240.02
284746.92	6249237.45
284728.09	6249299.44
284734.91	6249272.77
284745.9	6249229.98
284698.5	6249387.53
284706.23	6249360.5
284715.32	6249321.21
284697.39	6249380.46
284707.93	6249341.9
284713.05	6249320.02
284715.92	6249309.75
284703.96	6249341.42
284707.11	6249332.49
284707.49	6249331.03
284664.53	6249471.37
284674.85	6249430.58
284664.01	6249460.63
284674.76	6249421.1
284679.51	6249403.73
284663.27	6249451.98
284665.57	6249444.51
284674.17	6249413.59
284677.46	6249401.74
284698.63	6249293.62
284705.95	6249261.37
284713.41	6249232.71
284698.64	6249281.21
284706.53	6249251.37
284697.66	6249271.43
284705.88	6249240.37
284707.77	6249232.85
284665.47	6249371.7
284667.23	6249362.28
284675.48	6249332.21
284678.42	6249322.22
284663.15	6249370.26
284668.5	6249352.1
284666.9	6249343.47
284667.77	6249341.27
284678.35	6249301.78
284637.3	6249431.38
284640.25	6249421.07
284648.35	6249389.99
284629.94	6249451.39
284639.75	6249412.36
284641.79	6249404.63
284629.25	6249440.92
284639	6249403.05
284668	6249263.86
284679	6249224.65
284660	6249283.43
284668	6249253.95
284678	6249214.59
284660	6249274.35
284678	6249207.69
284630	6249362.91
284632	6249355.41
284637	6249333.94
284646	6249302.53
284648	6249295.04
284648	6249294.13
284629	6249355.51
284638	6249323.98
284630	6249341.53
284641	6249303.74
284797.31	6249391.7
284804.47	6249360.57
284807.1	6249350.85
284789.35	6249410.8
284796.97	6249380.71
284801.74	6249359.22
284788.29	6249401.72
284796.19	6249371.33
284758.69	6249491.11
284765.73	6249459.4
284769.05	6249452.63
284756.02	6249490.27
284765.68	6249451.63
284768.47	6249442.17
284757.71	6249472.64
284767.38	6249431.03
284768.97	6249428.06
284795.31	6249301.12
284795.33	6249292.54
284804.01	6249256.35
284805.91	6249249.78
284806.29	6249246.88
284788.02	6249312.53
284797.26	6249272
284805.26	6249241.42
284757.18	6249401.7
284764.48	6249371.64
284775.29	6249330.98
284756.99	6249391.12
284764.12	6249364.52
284764.41	6249360.76
284766.88	6249351.29
284773.02	6249329.57
284759.16	6249371.8
284767.11	6249338.57
284767.63	6249337.09
284726.67	6249471.17
