Easting	Northing
317020.52	6088866.37
316839.94	6088958.69
316930.05	6088731.03
316930.1	6088737.47
316919.53	6088890.84
317027.52	6088946.85
316957.25	6088949.97
317020.39	6088863.81
316792.2	6088721.24
316929.94	6088727.7
316793.97	6088795.4
316929.91	6088724.59
316794.39	6088805.73
317001.81	6088704.19
316793.08	6088758.43
316840.33	6088961.47
316794.92	6088734.94
316793.12	6088756.32
316840.15	6088961.46
316792.29	6088716.91
316794.49	6088809.84
316794.2	6088801.73
316792.49	6088733.78
316793.8	6088776.86
316792.24	6088719.13
316787.42	6088754.98
316792.55	6088739.89
316882.46	6088857.46
316794.5	6088813.94
316842.15	6088939.31
316793.66	6088774.86
316957.04	6088946.64
316792.69	6088746.21
316792.54	6088731.56
317003.15	6088749.72
316932.46	6088782.68
316804.25	6088955.96
316842.28	6088941.53
316794.7	6088826.26
316931.07	6088739.04
316794.53	6088807.84
316786.22	6088715.68
316792.25	6088723.23
316792.05	6088710.8
316794.24	6088799.62
316793.22	6088760.43
316932.25	6088779.35
316786	6088713.34
316810.05	6088943.54
316842.33	6088943.75
317003.1	6088747.72
317007.9	6088704.32
316792.39	6088725.46
316803.21	6088922.1
316932.57	6088786.01
316792.35	6088727.45
316787.96	6088786.62
316793.17	6088754.32
316974.86	6088718.96
317002.05	6088714.74
317008.1	6088716.53
316786.66	6088725.56
316792.69	6088741.89
316792.41	6088737.89
317008.17	6088726.52
316786.7	6088727.89
316862.45	6088782.03
316794.45	6088811.83
316810.19	6088945.54
316806.62	6088964.56
317020.79	6088933.51
316802.97	6088907.11
316793.41	6088764.54
316803.45	6088932.64
317020.59	6088871.92
316794.11	6088797.4
316894.36	6088706.45
316794.6	6088817.94
316793.92	6088793.4
316792.49	6088729.56
317020.57	6088930.95
317002.19	6088716.74
316822.03	6088708.08
316847.61	6088925.44
317001.95	6088706.19
316793.27	6088762.43
316789.86	6088769.46
316982.76	6088889.35
316793.52	6088772.64
316794.55	6088820.16
317027.39	6088944.41
317003.07	6088753.93
316810.09	6088941.32
316932.69	6088802.66
316932.12	6088772.47
316794.69	6088822.27
317027	6088936.97
316803.59	6088934.86
316932.56	6088795.78
317020.74	6088935.95
316789.9	6088767.24
316902.83	6088808.49
316863.34	6088827.55
316792.93	6088752.32
316805.96	6088943.46
316792.83	6088748.21
316828	6088709.54
316968.94	6088728.27
316991.07	6088905.61
316965.81	6088730.43
316931.96	6088762.47
316931.14	6088735.71
316867.21	6088735.52
316794.25	6088803.73
316932.51	6088789.12
316930.78	6088708.85
317002.14	6088718.85
316809.17	6088906.46
316795.06	6088736.94
317003.27	6088766.37
316991.51	6088915.38
316841.78	6088921.77
316935.02	6088808.59
316806.1	6088945.46
316792.01	6088712.91
316789.39	6088752.03
316938.02	6088773.03
317020.62	6088928.51
316787.68	6088764.76
317009.43	6088762.94
316869.52	6088823.02
316933.98	6088761.41
317003.21	6088756.04
316991.76	6088925.38
316803.11	6088913.55
316793.96	6088791.18
316793.51	6088768.76
316991.55	6088917.94
316789.9	6088771.68
316809.31	6088908.57
317003.22	6088764.37
316990.36	6088873.75
316794.64	6088815.94
316931.14	6088722.4
316787.12	6088747.54
317018.97	6088866.34
316785.86	6088710.9
317027.04	6088934.64
316867.6	6088752.29
316803.53	6088924.1
316966.44	6088743.98
316803.77	6088939.09
316809.56	6088922.78
316805.91	6088941.24
317021	6088940.95
316932.94	6088799.11
316973	6088752.1
316965.77	6088727.65
316842.19	6088937.09
316898.09	6088773.44
316867.57	6088749.4
316932.01	6088769.02
316786.35	6088718.12
316802.97	6088911.33
316792.15	6088714.91
316804.05	6088943.2
316862.41	6088779.26
317020.48	6088926.18
316841.27	6088906.56
316930.93	6088719.06
316787.55	6088762.2
316990.22	6088871.3
317002.1	6088721.07
316809.6	6088916.68
317009	6088748.39
316894.47	6088714.55
316932.05	6088776.01
316931.75	6088759.14
316934.72	6088778.62
316931.07	6088725.73
316794.65	6088824.27
316842.38	6088950.3
316930.75	6088705.74
316987.16	6088829.62
316882.41	6088860.23
316803.31	6088926.31
316793.47	6088770.75
316990.05	6088866.3
317009.38	6088765.6
316839.84	6088954.47
317008.23	6088719.08
316940.24	6088766.53
316987.28	6088832.62
316991.5	6088920.38
316932.07	6088765.81
316966.15	6088735.65
316787.34	6088749.99
317003.11	6088751.71
316990.3	6088876.3
316991.3	6088907.94
317004.74	6088725.34
317002.33	6088723.07
317022.57	6088953.41
316966.75	6088768.73
316842.65	6088959.19
317009.05	6088745.95
316898.97	6088815.07
316804.24	6088947.64
316901.71	6088769.63
316793.9	6088785.08
316991.61	6088910.61
316868.58	6088789.15
316985.23	6088902.27
316793.85	6088778.97
316804.29	6088953.74
316808.72	6088883.7
316789.62	6088758.47
316990.28	6088868.75
316801.66	6088837.17
317011.63	6088757.88
316902.78	6088797.39
317002.86	6088741.61
316866.99	6088732.74
316806.05	6088947.68
316916.88	6088886.68
316991.56	6088912.94
317008.92	6088743.51
316842.52	6088952.52
316931.44	6088752.48
316792.74	6088744.11
316934.18	6088764.96
316939.31	6088736.55
317019.28	6088873.78
317002.04	6088710.63
